JsonID,CreationDate,фамилия,имя,отчество,номер,электронная почта,адрес,дата рождения,ссылка на телеграмм,количество покупок за месяц,ИНН,почтовый индекс,количество времени проведенного на сайте,пол,количество отзывов,количество комментариев
0.0,2014.371610845295,Белоусова,,,,fedorovataisija@example.com,,1999-02-06,,,888561588090.0,,19:54:43,,58.0,
0.0,2015.9248689906583,Моисеева,Лидия,Августович,70373311130.0,samuil_85@example.org,,,,44.0,,,5:17:49,,31.0,52.0
0.0,2017.621610845295,Калинина,Савватий,,73104641551.0,savvanovikov@example.org,"клх Серов, пер. Кольцевой, д. 22 стр. 8/8, 563609",2005-06-02,https://t.me/bmelnikov,19.0,520495906595.0,,4:34:51,,,75.0
0.0,2021.0054682159944,Евдокимова,Остромир,,72856638601.0,gerasimsorokin@example.org,,1992-05-06,https://t.me/nifont90,46.0,,,1:24:37,,26.0,87.0
0.0,2020.5997379813168,Кулакова,Федосий,Захарьевич,74699827511.0,jaropolk_40@example.com,,,,11.0,,,,m,80.0,
0.0,2014.0136705399864,Рогов,Агафон,,82464808729.0,agafja_52@example.org,"ст. Троицк (Моск.), пер. Пролетарский, д. 4/7 стр. 41, 892077",2010-10-23,,,,,20:52:22,,99.0,
0.0,2019.8265550239237,Фадеева,Любовь,,84333211023.0,ershovmarian@example.org,,,,,127109268725.0,,3:15:11,f,,40.0
0.0,2012.4932216905904,Виноградов,Конон,Бенедиктович,85688234357.0,jan1985@example.net,"клх Югорск, ш. Вокзальное, д. 2/7 к. 4, 775845",1940-10-20,,,120223214281.0,,,f,,
0.0,2022.9330713146503,Самсонов,,Михайловна,82166716836.0,venedikt2002@example.net,"п. Шуя, наб. Космонавтов, д. 1 к. 259, 164479",1996-03-13,https://t.me/nikitinavalentina,46.0,,,22:53:56,m,85.0,
0.0,2024.7855434039643,,Сильвестр,,84227285985.0,konstantinovasofija@example.net,,1947-10-06,https://t.me/gkazakov,,,,2:0:27,m,,
0.0,2013.016404647984,Орлова,Терентий,,77514566011.0,pelageja94@example.org,"с. Туапсе, пер. Заовражный, д. 2/6, 057456",,,,,,,f,3.0,
0.0,2022.791011619959,Савин,Зосима,,81291859402.0,nina_2013@example.org,"с. Яр-Сале, алл. Осипенко, д. 9, 820124",2007-08-10,https://t.me/ivanna_11,,,,,,24.0,
0.0,2024.901686033265,Соловьева,Ипат,,83617098095.0,panisimova@example.net,,,,,144631949308.0,540629.0,20:35:32,,92.0,
0.0,2023.2527341079967,Ковалев,Людмила,,73499842057.0,,"ст. Азов (Рост.), пр. Запорожский, д. 886, 267948",1992-04-11,,50.0,712419044130.0,,11:18:24,,97.0,99.0
0.0,2023.8074162679425,Щербакова,,,84413203495.0,veselovsamson@example.org,"к. Эльтон, ул. Дорожников, д. 1/2, 565691",1967-09-16,https://t.me/lazarevanikita,,807325757161.0,,4:5:3,f,,
0.0,2014.1134085213032,Игнатов,Корнил,,,cheslav_77@example.org,"п. Муром, пер. Докучаева, д. 1 стр. 8/2, 312719",1939-06-11,https://t.me/mechislav_1998,,249868240301.0,,9:59:26,,,
0.0,2017.688539530645,,Сила,,77874098989.0,vladimir1986@example.org,"д. Воронеж, пер. Черемуховый, д. 3, 562239",,,15.0,,,15:55:59,,83.0,
0.0,2019.624344953292,,Лариса,Елисеевич,85980639925.0,svetozarpanfilov@example.org,,2002-07-08,https://t.me/serge1976,,,,,,12.0,5.0
0.0,2013.9330713146503,Кудряшов,,,85805115220.0,,"д. Качканар, наб. Революционная, д. 721 стр. 69, 250829",1937-11-03,,,,,17:53:1,f,56.0,8.0
0.0,2024.8934837092727,,Аверкий,,77851338760.0,rogovkirill@example.net,"д. Юрюзань, ш. Южное, д. 952 стр. 37, 442092",1979-08-20,,0.0,,,19:22:1,m,,
0.0,2011.987753474596,Захарова,Викентий,Зиновьевич,,merkushevarseni@example.org,,,,22.0,,,15:9:20,f,,
0.0,2014.8552061973116,,Ирина,,87331375147.0,blohinvsemil@example.net,,,https://t.me/vladimir96,,,,12:49:41,m,,
0.0,2015.2322852586008,Мишина,Яков,,86229800272.0,efremovapolina@example.com,,1996-05-18,https://t.me/moke_98,,,,11:48:30,,,43.0
0.0,2011.2076782866257,,Ульяна,,86237228584.0,,"д. Ельня, алл. Азина, д. 19, 196947",1953-10-18,,10.0,,,,,,
0.0,2015.427603098656,,Модест,,79676428253.0,,,2007-08-23,https://t.me/ninel_00,,753385915802.0,,,,37.0,
0.0,2015.487753474596,Лебедев,Юрий,,84527334434.0,vladimir81@example.org,"с. Аша, ш. Гафури, д. 8/4 стр. 7/2, 852689",,,20.0,,,16:31:9,,,
0.0,2013.648951925268,Зимина,Изяслав,,74963095459.0,silinamarfa@example.net,"к. Белоярский, ш. Калужское, д. 7/5 стр. 3, 282817",1952-08-21,,,,,,f,,1.0
0.0,2019.2992139439507,Мартынова,Прокофий,,89113845474.0,,"с. Вендинга, пр. Выгонный, д. 6 стр. 701, 921482",1948-10-12,,,,,,,,
0.0,2015.2022100706315,Матвеев,Соломон,,87655654890.0,,"ст. Минеральные Воды, ул. Строительная, д. 6/6 стр. 8, 417936",1964-01-19,,39.0,128886637536.0,,3:1:12,,,
0.0,2022.721348826612,Соболев,Наум,,85575696284.0,vera_67@example.com,,2002-02-04,https://t.me/veniamin_2021,,,,11:15:50,,62.0,41.0
0.0,2019.0574162679425,Тимофеева,,,70182116475.0,kornilovviktorin@example.net,"к. Сергиев Посад, наб. Щербакова, д. 97 к. 57, 873407",,,48.0,,,,m,,5.0
0.0,2022.2240829346088,Марков,Куприян,,88880120599.0,kornil_94@example.com,,,,,,,15:56:48,f,,
0.0,2012.5355434039643,Никитина,Лучезар,,78721898632.0,vsevolod_1971@example.com,,1974-01-28,,,,,,,,
0.0,2021.852472089314,Ермаков,Самуил,,71490784838.0,galina_95@example.com,"с. Дудинка, пр. Мира, д. 3/6 к. 7, 985278",1977-05-23,,,,,8:44:6,f,83.0,78.0
0.0,2022.390749601276,Громов,,Кирилловна,88288888157.0,bolshakovaemilija@example.com,,1992-07-21,https://t.me/ermakovaagata,0.0,,,6:44:8,m,,
0.0,2020.3688767372976,Тихонова,Самсон,,89184485033.0,evgenija36@example.net,"ст. Байкальск, наб. Пушкина, д. 23, 589797",,https://t.me/hohlovamargarita,22.0,209537393727.0,,22:38:33,m,49.0,
0.0,2023.941273638642,Елисеева,Автоном,,71521360196.0,pankrati_2019@example.net,,1958-06-05,,,,,4:51:11,,19.0,
0.0,2024.352472089314,Федотова,Эрнест,,76061072693.0,prohorovmaksim@example.net,"к. Курск, пер. Брянский, д. 2, 485423",1934-07-26,,24.0,,,,,27.0,20.0
0.0,2022.8934837092727,Абрамова,Остромир,,72246082089.0,borisovvsevolod@example.net,,,,,,,19:34:51,f,,
0.0,2020.260936431989,Абрамов,Добромысл,Матвеевна,77821873461.0,hariton1975@example.com,"к. Киржач, бул. Р.Люксембург, д. 18 стр. 952, 200160",1985-04-04,,,,,,m,,
0.0,2010.990487582593,Герасимов,Вера,,88764235978.0,nazarovvalentin@example.org,,1936-07-18,,26.0,,,,,87.0,
0.0,2017.5942697653225,Лукин,Оксана,,76152869996.0,wsokolova@example.org,,1955-07-28,https://t.me/eromanova,21.0,,,19:31:42,,,
0.0,2014.8934837092727,,Милан,,83144925422.0,ernst_2022@example.org,,,,33.0,,775730.0,,,34.0,40.0
0.0,2016.5738209159265,Щербакова,Клавдия,Иосифович,86847046622.0,pavelfilatov@example.net,,1949-08-19,,,,,5:2:44,m,15.0,
0.0,2024.8880154932783,Мамонтова,Вышеслав,,76467093391.0,kim2008@example.org,,1973-09-13,https://t.me/vadimsharapov,,,,10:39:39,,,
0.0,2019.7022100706315,Гущин,Агафон,,84202476890.0,andreevazhanna@example.com,"г. Вендинга, пер. Тукая, д. 19 стр. 96, 445768",,https://t.me/andronromanov,,,,22:4:54,,,
0.0,2020.96314650262,Третьякова,,,70279282386.0,,"п. Теберда, бул. Привокзальный, д. 3/2 к. 241, 908877",,,,,,,f,11.0,13.0
0.0,2015.7049441786285,Комиссаров,Вера,,,aristarhmjasnikov@example.net,"ст. Данков, алл. Гаражная, д. 7/1, 636522",1950-05-06,https://t.me/afinogen1977,,,,,,25.0,66.0
0.0,2020.568352699932,Тарасов,Наркис,Давыдович,82134006528.0,lnikonova@example.net,,1945-02-16,https://t.me/nikola_1995,,,,,f,56.0,
0.0,2010.5860674413304,Чернов,Милан,,,haritonovnatan@example.org,"ст. Назрань, пр. Песчаный, д. 992 стр. 121, 088569",1992-05-19,,,,,14:55:3,,,
0.0,2017.516404647984,Осипова,Любосмысл,,87081037573.0,vadim1981@example.org,"с. Красная Поляна, пер. Журавлева, д. 73, 515195",1933-04-09,,,,,4:34:29,,,0.0
0.0,2017.2855434039643,Лобанов,Элеонора,,,angelina48@example.com,,1988-12-07,https://t.me/kolobovaevpraksija,,,,10:34:1,m,40.0,
0.0,2013.729551150604,Мамонтов,,,87152374692.0,,"д. Малая Вишера, алл. Фестивальная, д. 1 стр. 852, 353888",1969-10-12,,,,,,,24.0,
0.0,2010.922134882661,Пахомова,Рубен,,76395448988.0,,,1952-02-05,https://t.me/veronika75,,,,21:18:0,f,,
0.0,2022.068352699932,Матвеева,,,76589693452.0,evgraf1976@example.net,"д. Приозерск, алл. Полтавская, д. 87 к. 4/9, 490155",1999-06-22,,6.0,663397328845.0,66346.0,1:16:27,f,,
