фамилия,имя,отчество,номер,электронная почта,адрес,дата рождения,ссылка на телеграмм,количество покупок за месяц,ИНН,почтовый индекс,количество времени проведенного на сайте,пол,количество отзывов,количество комментариев
Симонова,Дорофей,,70124903399.0,matve_1987@example.com,"г. Элиста, пер. Рязанский, д. 4/7 к. 4, 515219",1965-07-19,,,,,2:51:34,m,,58.0
Воробьев,,,70291902364.0,kotovfortunat@example.org,"клх Озеры, бул. 40 лет Октября, д. 8 к. 5, 552104",2005-12-08,,23.0,,,,,87.0,
Федосеев,Павел,,70907235446.0,vladimir_35@example.org,,1993-03-10,https://t.me/mironovjan,,,803311.0,,,,
Марков,,,70479962608.0,rozhkovfedosi@example.com,"клх Холмогоры, бул. Островского, д. 3, 878769",,https://t.me/osipovmarian,,,,,m,,
Власова,Мечислав,Ерофеевич,,,,1978-11-13,,28.0,,,0:49:33,f,71.0,
Бобров,Карл,,82146664932.0,,"ст. Озеры, пер. Таежный, д. 32 стр. 5, 638625",,,,,752926.0,,,,
Овчинников,Аникита,,73525327459.0,nikiforovkirill@example.net,"г. Катав-Ивановск, бул. Ватутина, д. 954 к. 3, 328109",1975-05-22,https://t.me/feoktist_2017,,,,7:32:31,,,
Третьякова,Борис,,,eleonora_1997@example.net,,1962-10-18,,,356055967003.0,,9:40:35,,21.0,
Гущин,Адриан,,77633198724.0,,,1937-08-03,,,590305347805.0,243454.0,8:33:19,,50.0,
,Якуб,,86340968227.0,,,1999-01-16,,,,760564.0,23:40:3,,,
Мухин,,,82862304429.0,evstafi54@example.com,"п. Переславль-Залесский, пер. Социалистический, д. 498 к. 426, 059455",1964-11-25,,,,,10:37:43,f,,7.0
Кондратьев,,,,luka_41@example.com,,1940-08-22,,,,,21:17:42,,37.0,26.0
,Ратибор,,85443980040.0,artemi83@example.org,"п. Тулун, ш. Вольное, д. 2/5 стр. 5/9, 997851",,,,,,12:32:4,f,,
Бобылева,Куприян,,89896330745.0,miheevmartjan@example.com,"с. Волгоград, пр. Шишкина, д. 602, 529086",,https://t.me/ladislav16,,454012310445.0,,0:1:44,,,
Гурьева,Владлен,,89098732392.0,iraida_22@example.com,"д. Мичуринск, пр. Коминтерна, д. 204, 646957",,https://t.me/kulakovanadezhda,33.0,,630013.0,,,,
